product,review,issue_date,announcement_date,effective_close_date,country,action,company_name,stock_code,mapping_status,mapping_score,matched_name,mapping_source,source_pdf,row_order
small_cap,2009-05,2009-05-13,2009-05-13,2009-05-29,TAIWAN,addition,POWER QUOTIENT INT'L,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,22
small_cap,2009-05,2009-05-13,2009-05-13,2009-05-29,TAIWAN,addition,TAIWAN LAND CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,29
small_cap,2009-05,2009-05-13,2009-05-13,2009-05-29,TAIWAN,deletion,FUBON NO 1 REIT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,9
small_cap,2009-05,2009-05-13,2009-05-13,2009-05-29,TAIWAN,deletion,SHIN KONG NO 1 REIT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,16
small_cap,2010-05,2010-05-11,2010-05-11,2010-05-26,TAIWAN,addition,ADV WIRELESS SEMICONDUC,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May10_SCPublicList.pdf,4
small_cap,2010-05,2010-05-11,2010-05-11,2010-05-26,TAIWAN,addition,DAHAN DEVELOPMENT CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May10_SCPublicList.pdf,9
small_cap,2010-05,2010-05-11,2010-05-11,2010-05-26,TAIWAN,addition,DAXON TECHNOLOGY,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May10_SCPublicList.pdf,10
small_cap,2010-05,2010-05-11,2010-05-11,2010-05-26,TAIWAN,deletion,CATHAY NO 2 REIT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May10_SCPublicList.pdf,1
small_cap,2011-05,2011-05-16,2011-05-16,2011-05-31,TAIWAN,addition,CHENMING MOLD INDUSTRY,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May11_SCPublicList.pdf,3
small_cap,2011-05,2011-05-16,2011-05-16,2011-05-31,TAIWAN,addition,CHIMEI MATERIALS TECH,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May11_SCPublicList.pdf,4
small_cap,2011-05,2011-05-16,2011-05-16,2011-05-31,TAIWAN,addition,MITAC INTERNATIONAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May11_SCPublicList.pdf,8
small_cap,2011-05,2011-05-16,2011-05-16,2011-05-31,TAIWAN,addition,SKYMEDI,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May11_SCPublicList.pdf,12
small_cap,2011-05,2011-05-16,2011-05-16,2011-05-31,TAIWAN,deletion,KAI CHIEH INTL INV,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May11_SCPublicList.pdf,2
small_cap,2012-05,2012-05-15,2012-05-15,2012-05-31,TAIWAN,addition,KOBIN ENVIRONMNTL ENTER,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May12_SCPublicList.pdf,1
small_cap,2012-05,2012-05-15,2012-05-15,2012-05-31,TAIWAN,deletion,CANDO CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May12_SCPublicList.pdf,2
small_cap,2012-05,2012-05-15,2012-05-15,2012-05-31,TAIWAN,deletion,JENN FENG NEW ENERGY CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May12_SCPublicList.pdf,11
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,addition,GALLOP NO 1 REIT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,7
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,addition,KMC (KUEI MENG) INT'L,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,9
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,addition,POWER QUOTIENT INT'L,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,15
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,deletion,AVY PRECISION TECH,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,1
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,deletion,CHENMING MOLD INDUSTRY,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,3
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,deletion,COSMOS BANK TAIWAN,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,5
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,deletion,PAN JIT INTERNATIONAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,18
small_cap,2013-05,2013-05-15,2013-05-15,2013-05-31,TAIWAN,deletion,TAIWAN PULP & PAPER CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,22
small_cap,2014-05,2014-05-14,2014-05-14,2014-05-30,TAIWAN,addition,ADVANCED LITH ELCTROCHM,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May14_SCPublicList.pdf,2
small_cap,2014-05,2014-05-14,2014-05-14,2014-05-30,TAIWAN,deletion,A.G.V. PRODUCTS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May14_SCPublicList.pdf,1
small_cap,2014-05,2014-05-14,2014-05-14,2014-05-30,TAIWAN,deletion,CHAMPION BUILDING MATRLS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May14_SCPublicList.pdf,4
small_cap,2015-05,2015-05-12,2015-05-12,2015-05-29,TAIWAN,addition,FAR EAST DEPT STORES,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May15_SCPublicList.pdf,4
small_cap,2015-05,2015-05-12,2015-05-12,2015-05-29,TAIWAN,addition,FORMOSA INTL HOTELS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May15_SCPublicList.pdf,6
small_cap,2015-05,2015-05-12,2015-05-12,2015-05-29,TAIWAN,deletion,SHIHLIN ELECTRIC & ENGR,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May15_SCPublicList.pdf,2
small_cap,2016-05,2016-05-12,2016-05-12,2016-05-31,TAIWAN,addition,INTL GAMES SYSTEM C,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May16_SCPublicList.pdf,8
small_cap,2017-05,2017-05-15,2017-05-15,2017-05-31,TAIWAN,addition,GENIUS ELECTR OPTICAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May17_SCPublicList.pdf,4
small_cap,2017-05,2017-05-15,2017-05-15,2017-05-31,TAIWAN,deletion,GREEN ENERGY TECHNOLOGY,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May17_SCPublicList.pdf,3
small_cap,2018-05,2018-05-14,2018-05-14,2018-05-31,TAIWAN,addition,PAN JIT INTERNATIONAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May18_SCPublicList.pdf,6
small_cap,2018-05,2018-05-14,2018-05-14,2018-05-31,TAIWAN,deletion,CHIMEI MATERIALS TECH,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May18_SCPublicList.pdf,4
small_cap,2018-05,2018-05-14,2018-05-14,2018-05-31,TAIWAN,deletion,E-TON SOLAR TECH,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May18_SCPublicList.pdf,5
small_cap,2018-05,2018-05-14,2018-05-14,2018-05-31,TAIWAN,deletion,TAIWAN LAND CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May18_SCPublicList.pdf,11
small_cap,2018-05,2018-05-14,2018-05-14,2018-05-31,TAIWAN,deletion,TAIWAN PCB TECHVEST CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May18_SCPublicList.pdf,12
small_cap,2019-05,2019-05-13,2019-05-13,2019-05-28,TAIWAN,deletion,CHUNG HSIN ELEC & MACH,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May19_SCPublicList.pdf,1
small_cap,2020-05,2020-05-12,2020-05-12,2020-05-29,TAIWAN,addition,LITE-ON SEMICONDUCTOR,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May20_SCPublicList.pdf,9
small_cap,2020-05,2020-05-12,2020-05-12,2020-05-29,TAIWAN,addition,MARKETECH INTL CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May20_SCPublicList.pdf,10
small_cap,2021-05,2021-05-11,2021-05-11,2021-05-27,TAIWAN,addition,ITE TECHNOLOGY,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May21_SCPublicList.pdf,20
small_cap,2021-05,2021-05-11,2021-05-11,2021-05-27,TAIWAN,addition,UNIZYX HOLDING,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May21_SCPublicList.pdf,28
small_cap,2022-05,2022-05-12,2022-05-12,2022-05-31,TAIWAN,addition,OPTOTECH CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May22_SCPublicList.pdf,11
small_cap,2022-05,2022-05-12,2022-05-12,2022-05-31,TAIWAN,addition,RUENTEX ENGR & CONST,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May22_SCPublicList.pdf,13
small_cap,2022-05,2022-05-12,2022-05-12,2022-05-31,TAIWAN,deletion,JIH SUN FINANCIAL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May22_SCPublicList.pdf,5
small_cap,2023-05,2023-05-11,2023-05-11,2023-05-31,TAIWAN,addition,SHIHLIN ELECTRIC & ENGR,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May23_SCPublicList.pdf,4
