country,company_name,candidate_stock_code,candidate_matched_name,candidate_score,candidate_source
TAIWAN,JESS-LINK PRODUCTS CO,2332,D-LINK,0.4167,FinLab company_basic_info:英文簡稱
TAIWAN,PHOENIX SILICON,4973,Silicon Power,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,TYC BROTHER INDUSTRIAL,8931,TYC,0.53,FinLab company_basic_info:英文簡稱
TAIWAN,UNIVERSAL MICROWAVE TECH,3218,UNIVERSAL,0.9275,FinLab company_basic_info:英文簡稱
TAIWAN,ABLEPRINT TECHNOLOGY,6863,Arizon RFID Technology,0.7143,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,FIRST HI TEC ENTERPRISE,2852,FIRST INS,0.5925,FinLab company_basic_info:英文簡稱
TAIWAN,FULLTECH FIBER GLASS,3473,Fiber Logic,0.4516,FinLab company_basic_info:英文簡稱
TAIWAN,TIGERAIR TAIWAN,3066,TAIWAN OASIS,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,ALEXANDER MARINE,8478,Ocean Alexander,0.5806,FinLab company_basic_info:英文簡稱
TAIWAN,CHIA HSIN CEMENT,6951,CHIN HSIN,0.64,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA MAN-MADE FIBER,1809,China Glaze,0.5461,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA METAL PRODUCTS CO,1809,China Glaze,0.4816,FinLab company_basic_info:英文簡稱
TAIWAN,CO TECH DEVELOPMENT,8358,CO-TECH,0.915,FinLab company_basic_info:英文簡稱
TAIWAN,CUB ELECPARTS,2231,CUB,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,EGIS TECHNOLOGY,6462,EGIS,0.9167,FinLab company_basic_info:英文簡稱
TAIWAN,FIRST COPPER TECHNOLOGY,2706,FIRST HOTEL,0.6182,FinLab company_basic_info:英文簡稱
TAIWAN,FORMOSA ADVANCED TECH,8171,Formosa,0.9233,FinLab company_basic_info:英文簡稱
TAIWAN,GRAND PACIFIC PETROCHEM,2924,Grand Galactica,0.5563,FinLab company_basic_info:英文簡稱
TAIWAN,INTL CSRC INV HLDGS CO,2104,CSRC,0.8811,FinLab company_basic_info:英文簡稱
TAIWAN,KUO TOONG INTERNATIONAL,5515,CHIEN KUO,0.4,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN MASK CORPORATION,3066,TAIWAN OASIS,0.8126,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN SEMICONDUCTOR CO,9917,TAIWAN SECOM,0.7175,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN-ASIA SC CORP,3019,ASIA,0.8886,FinLab company_basic_info:英文簡稱
TAIWAN,UPC TECHNOLOGY CORP,1313,UPC,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,YUNG SHIN GLOBAL HOLDING,8482,Shane Global,0.7143,FinLab company_basic_info:英文簡稱
TAIWAN,DONG FANG OFFSHORE,6793,TIENLI OFFSHORE,0.6061,FinLab company_basic_info:英文簡稱
TAIWAN,HERON NEUTRON MEDICAL,6857,Acer Medical,0.6061,FinLab company_basic_info:英文簡稱
TAIWAN,YUNGSHIN CONST & DEV,1909,Longchen P&P,0.5263,FinLab company_basic_info:英文簡稱
TAIWAN,ADVANCED CERAMIC X CORP,8938,ADVANCED GROUP,0.9344,FinLab company_basic_info:英文簡稱
TAIWAN,APEX BIOTECHNOLOGY CORP,5210,APEX,0.9122,FinLab company_basic_info:英文簡稱
TAIWAN,COSMOS BANK TAIWAN,2897,O-Bank,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,DYNAMIC ELECTRONICS CO,8928,DYNAMIC,0.9268,FinLab company_basic_info:英文簡稱
TAIWAN,E-ONE MOLI ENERGY CORP,6869,J&V Energy,0.6452,FinLab company_basic_info:英文簡稱
TAIWAN,GREAT CHINA METAL IND,2915,RUENTEX IND.LTD,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,ORISE TECHNOLOGY CO,6863,Arizon RFID Technology,0.6842,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,POWER QUOTIENT INT'L,7761,Power Win,0.5817,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN ACCEPTANCE CORP,1614,Taiwan Sanyo,0.6507,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN LAND CORP,1614,Taiwan Sanyo,0.8126,FinLab company_basic_info:英文簡稱
TAIWAN,TTY BIOPHARM CO,4105,TTY,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,YIEH UNITED STEEL CORP,2071,Chen Nan Steel,0.5806,FinLab company_basic_info:英文簡稱
TAIWAN,FUBON NO 1 REIT,2881,Fubon Financial,0.5633,FinLab company_basic_info:英文簡稱
TAIWAN,SHIN KONG NO 1 REIT,6582,Shin Foong,0.5817,FinLab company_basic_info:英文簡稱
TAIWAN,ACES ELECTRONIC CO,3605,ACES,0.9167,FinLab company_basic_info:英文簡稱
TAIWAN,ACME ELECTRONICS CORP,8121,ACME,0.915,FinLab company_basic_info:英文簡稱
TAIWAN,DAHAN DEVELOPMENT CORP,4402,J.D Development,0.8125,FinLab company_basic_info:英文簡稱
TAIWAN,DAXON TECHNOLOGY,6863,Arizon RFID Technology,0.7368,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,G TECH OPTOELECTRONICS C,3149,G-TECH,0.9173,FinLab company_basic_info:英文簡稱
TAIWAN,GRAPE KING,6832,KING'S,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,HITI DIGITAL,3494,HiTi,0.9233,FinLab company_basic_info:英文簡稱
TAIWAN,CATHAY NO 2 REIT,2501,CATHAY RED,0.7223,FinLab company_basic_info:英文簡稱
TAIWAN,CHIMEI MATERIALS TECH,8358,CO-TECH,0.879,FinLab company_basic_info:英文簡稱
TAIWAN,CRYSTALWISE TECHNOLOGY,6863,Arizon RFID Technology,0.5909,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,LITE-ON IT,6926,Shine-On Bio,0.6364,FinLab company_basic_info:英文簡稱
TAIWAN,C-MEDIA ELECTRONICS,6470,U-MEDIA,0.4615,FinLab company_basic_info:英文簡稱
TAIWAN,KAI CHIEH INTL INV,1906,Baolong Intl.,0.4,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN IC PACKAGING,9924,TAIWAN FU HSING,0.6771,FinLab company_basic_info:英文簡稱
TAIWAN,YUFO ELECTRONIC CORP,6194,YUFO,0.9167,FinLab company_basic_info:英文簡稱
TAIWAN,TTET UNION CORPORATION,1232,TTET,0.93,FinLab company_basic_info:英文簡稱
TAIWAN,JENN FENG NEW ENERGY CO,6869,J&V Energy,0.6667,FinLab company_basic_info:英文簡稱
TAIWAN,SUPER DRAGON TECH CO,8358,CO-TECH,0.8835,FinLab company_basic_info:英文簡稱
TAIWAN,TA CHONG SECURITIES CO,3167,TA LIANG,0.43,FinLab company_basic_info:英文簡稱
TAIWAN,CHC HEALTHCARE GROUP,9930,CHC,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA ECOTEK CORPORATION,1809,China Glaze,0.6387,FinLab company_basic_info:英文簡稱
TAIWAN,KMC (KUEI MENG) INT'L,7590,Yiho Int'l,0.6667,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN LIPOSOME,9917,TAIWAN SECOM,0.7707,FinLab company_basic_info:英文簡稱
TAIWAN,AVY PRECISION TECH,8358,CO-TECH,0.8822,FinLab company_basic_info:英文簡稱
TAIWAN,GLOBE UNION INDUSTRIAL,2816,UNION INS.,0.5806,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN PULP & PAPER CO,9924,TAIWAN FU HSING,0.5856,FinLab company_basic_info:英文簡稱
TAIWAN,WEI MON INDUSTRY CO,2028,WEI CHIH,0.4467,FinLab company_basic_info:英文簡稱
TAIWAN,WUS PRINTED CIRCUIT CO,2316,WUS,0.53,FinLab company_basic_info:英文簡稱
TAIWAN,ADVANCED LITH ELCTROCHM,8938,ADVANCED GROUP,0.9248,FinLab company_basic_info:英文簡稱
TAIWAN,CAPELLA MICROSYS TAIWAN,3066,TAIWAN OASIS,0.4,FinLab company_basic_info:英文簡稱
TAIWAN,CHAMPION BUILDING MATRLS,3257,CHAMPION,0.9233,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA ELECTRIC MFG,1809,China Glaze,0.5128,FinLab company_basic_info:英文簡稱
TAIWAN,GLOBAL BRANDS MANUFACT.,4566,GLOBAL TEK,0.53,FinLab company_basic_info:英文簡稱
TAIWAN,GREEN SEAL HOLDING,8444,Green River,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,SHIHLIN ELECTRIC & ENGR,1903,Shihlin Paper,0.5563,FinLab company_basic_info:英文簡稱
TAIWAN,SOUTHEAST CEMENT CO,1110,SE CEMENT,0.72,FinLab company_basic_info:英文簡稱
TAIWAN,CHAUN-CHOUNG TECH CORP,3149,G-TECH,0.8953,FinLab company_basic_info:英文簡稱
TAIWAN,KINGPAK TECHNOLOGY,6863,Arizon RFID Technology,0.65,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,ABILITY ENTERPRISE CO,3362,ABILITY,0.9289,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN UNION TECHNOLOGY,6863,Arizon RFID Technology,0.7111,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,GREEN ENERGY TECHNOLOGY,6863,Arizon RFID Technology,0.6667,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,HSIN KUANG STEEL CO,2010,CHUN YUAN STEEL,0.7742,FinLab company_basic_info:英文簡稱
TAIWAN,ACTRON TECHNOLOGY,6863,Arizon RFID Technology,0.7692,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,E-TON SOLAR TECH,1785,Solar,0.8912,FinLab company_basic_info:英文簡稱
TAIWAN,IRON FORCE INDUSTRIAL,4923,Force Mos,0.4667,FinLab company_basic_info:英文簡稱
TAIWAN,JOHNSON HEALTH TECH CO,8358,CO-TECH,0.8811,FinLab company_basic_info:英文簡稱
TAIWAN,LI PENG ENTERPRISE CO,4426,LI CHENG,0.4915,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN PCB TECHVEST CO,9924,TAIWAN FU HSING,0.6182,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN SURFACE MOUNTING,9911,TAIWAN SAKURA,0.6411,FinLab company_basic_info:英文簡稱
TAIWAN,TOUNG LOONG TEXTILE,1419,SHINKO.TEXTILE,0.5455,FinLab company_basic_info:英文簡稱
TAIWAN,UNION BANK OF TAIWAN,2816,UNION INS.,0.5128,FinLab company_basic_info:英文簡稱
TAIWAN,CHUNG HSIN ELEC & MACH,4205,CHUNG HWA,0.5148,FinLab company_basic_info:英文簡稱
