country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
USA,HACKETT GROUP,HCKT,"HACKETT GROUP, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,INSTEEL INDUSTRIES,IIIN,INSTEEL INDUSTRIES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,KKR REAL EST FIN TRUST,,,,0.0,needs_review
USA,LENZ THERAPEUTICS,LENZ,"LENZ Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,RAPID7,RPD,"Rapid7, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,WHITEFIBER,WYFI,"WhiteFiber, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,YEXT,YEXT,"Yext, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
TAIWAN,GALLANT MICRO MACHINING,6640,"Gallant Micro. Machining Co., LTD.","Round7 current-code discovery: Yahoo Finance search matched `Gallant Micro. Machining Co., LTD.`/6640.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: GMM | 均華 | 均華精密工業股份有限公司",1.0000,verified_tw_current_round7
TAIWAN,GROUP UP INDUSTRIAL,6664,"Group Up Industrial Co., Ltd.","Round7 current-code discovery: Yahoo Finance search matched `Group Up Industrial Co., Ltd.`/6664.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: Group Up | 群翊 | 群翊工業股份有限公司",1.0000,verified_tw_current_round7
TAIWAN,LELON ELECTRONICS CORP,2472,LELON,FinLab company_basic_info:英文簡稱,0.9194,verified_tw_reference_fuzzy
TAIWAN,TAIFLEX SCIENTIFIC,8039,TAIFLEX,FinLab company_basic_info:英文簡稱,0.9289,verified_tw_reference_fuzzy
TAIWAN,TAIWAN MICROLOOPS,6831,MICROLOOPS,FinLab company_basic_info:英文簡稱,0.9188,verified_tw_reference_fuzzy
TAIWAN,FULGENT SUN INTL HLDG,9802,Fulgent Sun,FinLab company_basic_info:英文簡稱,0.9424,verified_tw_reference_fuzzy
TAIWAN,HOTA INDUSTRIAL MFG CO,1536,"Hota Industrial Mfg. Co., Ltd.","Round7 current-code discovery: Yahoo Finance search matched `Hota Industrial Mfg. Co., Ltd.`/1536.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: HOTA | 和大 | 和大工業股份有限公司",1.0000,verified_tw_current_round7
TAIWAN,LUNG YEN CO,5530,LUNG YEN,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
TAIWAN,POLARIS GROUP,6550,Polaris Group,Round7 current-code discovery: Yahoo Finance search matched `Polaris Group`/6550.TW; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: PG | 北極星藥業-KY | 北極星藥業集團股份有限公司,1.0000,verified_tw_current_round7
