product,review,pdf_file,issue_date,announcement_date,effective_close_date
standard,2007-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb07_STPublicList.pdf,2007-02-13,2007-02-13,2007-02-28
standard,2008-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb08_STPublicList.pdf,2008-02-13,2008-02-13,2008-02-29
standard,2009-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb09_STPublicList.pdf,2009-02-11,2009-02-11,2009-02-27
standard,2010-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb10_STPublicList.pdf,2010-02-10,2010-02-10,2010-02-26
standard,2011-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb11_STPublicList.pdf,2011-02-10,2011-02-10,2011-02-28
standard,2012-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb12_STPublicList.pdf,2012-02-15,2012-02-15,2012-02-29
standard,2013-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb13_STPublicList.pdf,2013-02-13,2013-02-13,2013-02-28
standard,2014-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb14_STPublicList.pdf,2014-02-12,2014-02-12,2014-02-28
standard,2015-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb15_STPublicList.pdf,2015-02-11,2015-02-11,2015-02-27
standard,2016-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb16_STPublicList.pdf,2016-02-11,2016-02-11,2016-02-29
standard,2017-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb17_STPublicList.pdf,2017-02-09,2017-02-09,2017-02-28
standard,2018-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb18_STPublicList.pdf,2018-02-12,2018-02-12,2018-02-28
standard,2019-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb19_STPublicList.pdf,2019-02-11,2019-02-11,2019-02-28
standard,2020-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb20_STPublicList.pdf,2020-02-12,2020-02-12,2020-02-28
standard,2021-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb21_STPublicList.pdf,2021-02-09,2021-02-09,2021-02-26
standard,2022-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb22_STPublicList.pdf,2022-02-09,2022-02-09,2022-02-28
standard,2023-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb23_STPublicList.pdf,2023-02-09,2023-02-09,2023-02-28
standard,2024-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb24_STPublicList.pdf,2024-02-12,2024-02-12,2024-02-29
standard,2025-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb25_STPublicList.pdf,2025-02-11,2025-02-11,2025-02-28
standard,2026-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Feb26_STPublicList.pdf,2026-02-10,2026-02-10,2026-02-27
standard,2006-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May06_STPublicList.pdf,2006-05-10,2006-05-10,2006-05-31
standard,2007-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May07_STPublicList.pdf,2007-05-03,2007-05-03,2007-05-31
standard,2008-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May08_STPublicList.pdf,2008-05-06,2008-05-06,2008-05-30
standard,2009-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May09_STPublicList.pdf,2009-05-13,2009-05-13,2009-05-29
standard,2010-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May10_STPublicList.pdf,2010-05-11,2010-05-11,2010-05-26
standard,2011-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May11_STPublicList.pdf,2011-05-16,2011-05-16,2011-05-31
standard,2012-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May12_STPublicList.pdf,2012-05-15,2012-05-15,2012-05-31
standard,2013-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May13_STPublicList.pdf,2013-05-15,2013-05-15,2013-05-31
standard,2014-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May14_STPublicList.pdf,2014-05-14,2014-05-14,2014-05-30
standard,2015-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May15_STPublicList.pdf,2015-05-12,2015-05-12,2015-05-29
standard,2016-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May16_STPublicList.pdf,2016-05-12,2016-05-12,2016-05-31
standard,2017-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May17_STPublicList.pdf,2017-05-15,2017-05-15,2017-05-31
standard,2018-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May18_STPublicList.pdf,2018-05-14,2018-05-14,2018-05-31
standard,2019-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May19_STPublicList.pdf,2019-05-13,2019-05-13,2019-05-28
standard,2020-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May20_STPublicList.pdf,2020-05-12,2020-05-12,2020-05-29
standard,2021-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May21_STPublicList.pdf,2021-05-11,2021-05-11,2021-05-27
standard,2022-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May22_STPublicList.pdf,2022-05-12,2022-05-12,2022-05-31
standard,2023-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May23_STPublicList.pdf,2023-05-11,2023-05-11,2023-05-31
standard,2024-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May24_STPublicList.pdf,2024-05-14,2024-05-14,2024-05-31
standard,2025-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May25_STPublicList.pdf,2025-05-13,2025-05-13,2025-05-30
standard,2026-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_May26_STPublicList.pdf,2026-05-12,2026-05-12,2026-05-29
standard,2006-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov06_STPublicList.pdf,2006-11-14,2006-11-14,2006-11-30
standard,2007-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov07_STPublicList.pdf,2007-11-05,2007-11-05,2007-11-30
standard,2008-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov08_STPublicList.pdf,2008-11-11,2008-11-11,2008-11-25
standard,2009-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov09_STPublicList.pdf,2009-11-11,2009-11-11,2009-11-30
standard,2010-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov10_STPublicList.pdf,2010-11-10,2010-11-10,2010-11-30
standard,2011-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov11_STPublicList.pdf,2011-11-15,2011-11-15,2011-11-30
standard,2012-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov12_STPublicList.pdf,2012-11-14,2012-11-14,2012-11-30
standard,2013-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov13_STPublicList.pdf,2013-11-07,2013-11-07,2013-11-26
standard,2014-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov14_STPublicList.pdf,2014-11-06,2014-11-06,2014-11-25
standard,2015-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov15_STPublicList.pdf,2015-11-12,2015-11-12,2015-11-30
standard,2016-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov16_STPublicList.pdf,2016-11-14,2016-11-14,2016-11-30
standard,2017-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov17_STPublicList.pdf,2017-11-13,2017-11-13,2017-11-30
standard,2018-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov18_STPublicList.pdf,2018-11-13,2018-11-13,2018-11-30
standard,2019-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov19_STPublicList.pdf,2019-11-07,2019-11-07,2019-11-26
standard,2020-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov20_STPublicList.pdf,2020-11-10,2020-11-10,2020-11-30
standard,2021-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov21_STPublicList.pdf,2021-11-11,2021-11-11,2021-11-30
standard,2022-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov22_STPublicList.pdf,2022-11-10,2022-11-10,2022-11-30
standard,2023-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov23_STPublicList.pdf,2023-11-14,2023-11-14,2023-11-30
standard,2024-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov24_STPublicList.pdf,2024-11-06,2024-11-06,2024-11-25
standard,2025-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/stdindex/MSCI_Nov25_STPublicList.pdf,2025-11-05,2025-11-05,2025-11-24
small_cap,2007-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug07_SCPublicList.pdf,2007-08-16,2007-08-16,2007-08-31
small_cap,2008-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug08_SCPublicList.pdf,2008-08-13,2008-08-13,2008-08-29
small_cap,2009-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug09_SCPublicList.pdf,2009-08-12,2009-08-12,2009-08-31
small_cap,2010-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug10_SCPublicList.pdf,2010-08-17,2010-08-17,2010-08-31
small_cap,2011-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug11_SCPublicList.pdf,2011-08-16,2011-08-16,2011-08-31
small_cap,2012-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug12_SCPublicList.pdf,2012-08-15,2012-08-15,2012-08-31
small_cap,2013-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug13_SCPublicList.pdf,2013-08-14,2013-08-14,2013-08-30
small_cap,2014-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug14_SCPublicList.pdf,2014-08-13,2014-08-13,2014-08-29
small_cap,2015-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug15_SCPublicList.pdf,2015-08-13,2015-08-13,2015-08-31
small_cap,2016-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug16_SCPublicList.pdf,2016-08-11,2016-08-11,2016-08-31
small_cap,2017-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug17_SCPublicList.pdf,2017-08-10,2017-08-10,2017-08-31
small_cap,2018-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug18_SCPublicList.pdf,2018-08-13,2018-08-13,2018-08-31
small_cap,2019-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug19_SCPublicList.pdf,2019-08-07,2019-08-07,2019-08-27
small_cap,2020-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug20_SCPublicList.pdf,2020-08-12,2020-08-12,2020-08-31
small_cap,2021-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug21_SCPublicList.pdf,2021-08-11,2021-08-11,2021-08-31
small_cap,2022-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug22_SCPublicList.pdf,2022-08-11,2022-08-11,2022-08-31
small_cap,2023-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug23_SCPublicList.pdf,2023-08-10,2023-08-10,2023-08-31
small_cap,2024-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug24_SCPublicList.pdf,2024-08-12,2024-08-12,2024-08-30
small_cap,2025-08,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Aug25_SCPublicList.pdf,2025-08-07,2025-08-07,2025-08-26
small_cap,2008-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb08_SCPublicList.pdf,2008-02-13,2008-02-13,2008-02-29
small_cap,2009-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb09_SCPublicList.pdf,2009-02-11,2009-02-11,2009-02-27
small_cap,2010-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb10_SCPublicList.pdf,2010-02-10,2010-02-10,2010-02-26
small_cap,2011-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb11_SCPublicList.pdf,2011-02-10,2011-02-10,2011-02-28
small_cap,2012-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb12_SCPublicList.pdf,2012-02-15,2012-02-15,2012-02-29
small_cap,2013-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb13_SCPublicList.pdf,2013-02-13,2013-02-13,2013-02-28
small_cap,2014-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb14_SCPublicList.pdf,2014-02-12,2014-02-12,2014-02-28
small_cap,2015-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb15_SCPublicList.pdf,2015-02-11,2015-02-11,2015-02-27
small_cap,2016-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb16_SCPublicList.pdf,2016-02-11,2016-02-11,2016-02-29
small_cap,2017-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb17_SCPublicList.pdf,2017-02-09,2017-02-09,2017-02-28
small_cap,2018-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb18_SCPublicList.pdf,2018-02-12,2018-02-12,2018-02-28
small_cap,2019-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb19_SCPublicList.pdf,2019-02-11,2019-02-11,2019-02-28
small_cap,2020-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb20_SCPublicList.pdf,2020-02-12,2020-02-12,2020-02-28
small_cap,2021-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb21_SCPublicList.pdf,2021-02-09,2021-02-09,2021-02-26
small_cap,2022-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb22_SCPublicList.pdf,2022-02-09,2022-02-09,2022-02-28
small_cap,2023-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb23_SCPublicList.pdf,2023-02-09,2023-02-09,2023-02-28
small_cap,2024-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb24_SCPublicList.pdf,2024-02-12,2024-02-12,2024-02-29
small_cap,2025-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb25_SCPublicList.pdf,2025-02-11,2025-02-11,2025-02-28
small_cap,2026-02,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Feb26_SCPublicList.pdf,2026-02-10,2026-02-10,2026-02-27
small_cap,2006-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May06_SCPublicList.pdf,2006-05-10,2006-05-10,2006-05-31
small_cap,2007-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May07_SCPublicList.pdf,2007-05-03,2007-05-03,2007-05-31
small_cap,2008-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May08_SCPublicList.pdf,2008-05-06,2008-05-06,2008-05-30
small_cap,2009-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May09_SCPublicList.pdf,2009-05-13,2009-05-13,2009-05-29
small_cap,2010-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May10_SCPublicList.pdf,2010-05-11,2010-05-11,2010-05-26
small_cap,2011-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May11_SCPublicList.pdf,2011-05-16,2011-05-16,2011-05-31
small_cap,2012-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May12_SCPublicList.pdf,2012-05-15,2012-05-15,2012-05-31
small_cap,2013-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May13_SCPublicList.pdf,2013-05-15,2013-05-15,2013-05-31
small_cap,2014-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May14_SCPublicList.pdf,2014-05-14,2014-05-14,2014-05-30
small_cap,2015-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May15_SCPublicList.pdf,2015-05-12,2015-05-12,2015-05-29
small_cap,2016-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May16_SCPublicList.pdf,2016-05-12,2016-05-12,2016-05-31
small_cap,2017-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May17_SCPublicList.pdf,2017-05-15,2017-05-15,2017-05-31
small_cap,2018-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May18_SCPublicList.pdf,2018-05-14,2018-05-14,2018-05-31
small_cap,2019-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May19_SCPublicList.pdf,2019-05-13,2019-05-13,2019-05-28
small_cap,2020-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May20_SCPublicList.pdf,2020-05-12,2020-05-12,2020-05-29
small_cap,2021-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May21_SCPublicList.pdf,2021-05-11,2021-05-11,2021-05-27
small_cap,2022-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May22_SCPublicList.pdf,2022-05-12,2022-05-12,2022-05-31
small_cap,2023-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May23_SCPublicList.pdf,2023-05-11,2023-05-11,2023-05-31
small_cap,2024-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May24_SCPublicList.pdf,2024-05-14,2024-05-14,2024-05-31
small_cap,2025-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May25_SCPublicList.pdf,2025-05-13,2025-05-13,2025-05-30
small_cap,2026-05,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May26_SCPublicList.pdf,2026-05-12,2026-05-12,2026-05-29
small_cap,2006-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov06_SCPublicList.pdf,2006-11-14,2006-11-14,2006-11-30
small_cap,2007-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov07_SCPublicList.pdf,2007-11-05,2007-11-05,2007-11-30
small_cap,2008-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov08_SCPublicList.pdf,2008-11-11,2008-11-11,2008-11-25
small_cap,2009-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov09_SCPublicList.pdf,2009-11-11,2009-11-11,2009-11-30
small_cap,2010-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,2010-11-10,2010-11-10,2010-11-30
small_cap,2011-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,2011-11-15,2011-11-15,2011-11-30
small_cap,2012-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov12_SCPublicList.pdf,2012-11-14,2012-11-14,2012-11-30
small_cap,2013-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov13_SCPublicList.pdf,2013-11-07,2013-11-07,2013-11-26
small_cap,2014-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov14_SCPublicList.pdf,2014-11-06,2014-11-06,2014-11-25
small_cap,2015-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov15_SCPublicList.pdf,2015-11-12,2015-11-12,2015-11-30
small_cap,2016-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov16_SCPublicList.pdf,2016-11-14,2016-11-14,2016-11-30
small_cap,2017-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov17_SCPublicList.pdf,2017-11-13,2017-11-13,2017-11-30
small_cap,2018-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov18_SCPublicList.pdf,2018-11-13,2018-11-13,2018-11-30
small_cap,2019-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov19_SCPublicList.pdf,2019-11-07,2019-11-07,2019-11-26
small_cap,2020-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov20_SCPublicList.pdf,2020-11-10,2020-11-10,2020-11-30
small_cap,2021-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov21_SCPublicList.pdf,2021-11-11,2021-11-11,2021-11-30
small_cap,2022-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov22_SCPublicList.pdf,2022-11-10,2022-11-10,2022-11-30
small_cap,2023-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov23_SCPublicList.pdf,2023-11-14,2023-11-14,2023-11-30
small_cap,2024-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov24_SCPublicList.pdf,2024-11-06,2024-11-06,2024-11-25
small_cap,2025-11,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov25_SCPublicList.pdf,2025-11-05,2025-11-05,2025-11-24
