country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status,is_verified_mapping,universe_match,universe_checked,backtest_ready_mapping
USA,COMPASS THERAPEUTICS,CMPX,"Compass Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CYMABAY THERAPEUTICS,CBAY,"CymaBay Therapeutics, Inc.",web_verified_round2:https://www.sec.gov/Archives/edgar/data/1042074/000119312524031185/d791540dex991.htm,0.98,verified_us_web_high_confidence,true,true,us_dayTradePortfolio Close union,true
USA,EVERQUOTE A,EVER,"EverQuote, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,F&G ANNUITIES & LIFE,FG,"F&G Annuities & Life, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,IVANHOE ELECTRIC,IE,Ivanhoe Electric Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,JANUX THERAPEUTICS,JANX,"Janux Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,OIL STATES INTERNATIONAL,OIS,"OIL STATES INTERNATIONAL, INC",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,PRIME MEDICINE,PRME,"Prime Medicine, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SENTINELONE INC A,S,"SentinelOne, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SIGHT SCIENCES,SGHT,"Sight Sciences, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SYMBOTIC A,SYM,Symbotic Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,TIPTREE,TIPT,TIPTREE INC.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
