ticker,name,exchange,source,norm
1321,OPC,sii,FinLab company_basic_info:英文簡稱,OPC
1323,永裕,sii,FinLab company_basic_info:公司簡稱,
1323,永裕塑膠工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1323,YONYU,sii,FinLab company_basic_info:英文簡稱,YONYU
1324,地球,sii,FinLab company_basic_info:公司簡稱,
1324,地球綜合工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1324,GLOBE TAPE,sii,FinLab company_basic_info:英文簡稱,GLOBE TAPE
1325,恆大,sii,FinLab company_basic_info:公司簡稱,
1325,恒大股份有限公司,sii,FinLab company_basic_info:公司名稱,
1325,UK,sii,FinLab company_basic_info:英文簡稱,UK
1326,台化,sii,FinLab company_basic_info:公司簡稱,
1326,台灣化學纖維股份有限公司,sii,FinLab company_basic_info:公司名稱,
1326,FCFC,sii,FinLab company_basic_info:英文簡稱,FCFC
1337,再生-KY,sii,FinLab company_basic_info:公司簡稱,KY
1337,亞洲塑膠再生資源控股有限公司,sii,FinLab company_basic_info:公司名稱,
1337,Asia Plastic,sii,FinLab company_basic_info:英文簡稱,ASIA PLASTIC
1338,廣華-KY,sii,FinLab company_basic_info:公司簡稱,KY
1338,廣華控股有限公司,sii,FinLab company_basic_info:公司名稱,
1338,Hiroca,sii,FinLab company_basic_info:英文簡稱,HIROCA
1339,昭輝,sii,FinLab company_basic_info:公司簡稱,
1339,昭輝實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1339,Y.C.C.,sii,FinLab company_basic_info:英文簡稱,Y C
1340,勝悅-KY,sii,FinLab company_basic_info:公司簡稱,KY
1340,勝悅新材料有限公司,sii,FinLab company_basic_info:公司名稱,
1340,VICTORY,sii,FinLab company_basic_info:英文簡稱,VICTORY
1341,富林-KY,sii,FinLab company_basic_info:公司簡稱,KY
1341,富林塑膠工業(開曼)控股(股)公司,sii,FinLab company_basic_info:公司名稱,
1341,FULIN-KY,sii,FinLab company_basic_info:英文簡稱,FULIN KY
1342,八貫,sii,FinLab company_basic_info:公司簡稱,
1342,八貫企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1342,CCI Yilan,sii,FinLab company_basic_info:英文簡稱,CCI YILAN
1402,遠東新,sii,FinLab company_basic_info:公司簡稱,
1402,遠東新世紀股份有限公司,sii,FinLab company_basic_info:公司名稱,
1402,FENC,sii,FinLab company_basic_info:英文簡稱,FENC
1409,新纖,sii,FinLab company_basic_info:公司簡稱,
1409,新光合成纖維股份有限公司,sii,FinLab company_basic_info:公司名稱,
1409,SSFC,sii,FinLab company_basic_info:英文簡稱,SSFC
