country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
USA,TELEPHONE & DATA SYS SPC,,,,0.0,needs_review
USA,TELLABS,,,,0.0,needs_review
USA,WENDY'S INTERNATIONAL,,,,0.0,needs_review
TAIWAN,FARGLORY DEVELOPERS CO,,,,0.0,needs_review
TAIWAN,FENG HSIN IRON & STEEL,,,,0.0,needs_review
TAIWAN,COMPEQ MANUFACTURING CO,,,,0.0,needs_review
TAIWAN,KINPO ELECTRONICS,,,,0.0,needs_review
TAIWAN,MICRO-STAR INTERNATIONAL,,,,0.0,needs_review
TAIWAN,ORIENTAL UNION CHEMICAL,,,,0.0,needs_review
TAIWAN,RITEK CORP,2349,RITEK,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
TAIWAN,TAIWAN NAVIGATION CO,,,,0.0,needs_review
TAIWAN,WATERLAND FINANCIAL,,,,0.0,needs_review
TAIWAN,YIEH PHUI ENTERPRISE,,,,0.0,needs_review
TAIWAN,YUEN FOONG YU PAPER MFG,,,,0.0,needs_review
TAIWAN,ZYXEL COMMUNICATIONS,,,,0.0,needs_review
USA,AIRGAS,,,,0.0,needs_review
USA,BLACKROCK A,BLK,"BlackRock, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CALPINE CORP,,,,0.0,needs_review
USA,CERNER CORP,,,,0.0,needs_review
USA,CROWN HOLDINGS,CCK,"CROWN HOLDINGS, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,EATON VANCE CORP NV,,,,0.0,needs_review
USA,EDWARDS LIFESCIENCES,EW,Edwards Lifesciences Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,FMC CORP,FMC,FMC CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,IHS INC A,IHS,IHS Holding Ltd,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,JEFFERIES GROUP,,,,0.0,needs_review
USA,LENDER PROCESSING SVCS,,,,0.0,needs_review
USA,MAXIM INTEGRATED PRDCTS,,,,0.0,needs_review
USA,METAVANTE HOLDING,,,,0.0,needs_review
USA,MYRIAD GENETICS,MYGN,MYRIAD GENETICS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NUANCE COMMUNICATIONS,,,,0.0,needs_review
USA,PEPSIAMERICAS,,,,0.0,needs_review
USA,RAYONIER,RYN,RAYONIER INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,RED HAT,,,,0.0,needs_review
USA,SBA COMMUNICATIONS A,SBAC,SBA COMMUNICATIONS CORP,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,URS CORP,,,,0.0,needs_review
USA,WATSON PHARMACEUTICALS,,,,0.0,needs_review
USA,AMYLIN PHARMACEUTICALS,,,,0.0,needs_review
USA,EASTMAN KODAK CO,KODK,EASTMAN KODAK CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,GANNETT CO,,,,0.0,needs_review
